title,rating,price,image,description,brand
"realme 11x 5G (Purple Dawn, 128 GB)",4.4,"14,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/f/w/-original-imags37hy7uz2usv.jpeg?q=70,"6 GB RAM | 128 GB ROM | Expandable Upto 2 TB, 17.07 cm (6.72 inch) Full HD+ Display, 64MP + 2MP | 8MP Front Camera, 5000 mAh Battery, Dimensity 6100+ Processor, 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",realme
"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",4.2,"6,499",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/q/g/-original-imagtqqd4vcdzqdg.jpeg?q=70,"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB, 16.51 cm (6.5 inch) HD Display, 13MP + 2MP | 5MP Front Camera, 5000 mAh Lithium-Ion Battery, Mediatek Helio P35 Processor, 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories",SAMSUNG
"POCO C55 (Forest Green, 128 GB)",4.2,"7,999",https://rukminim2.flixcart.com/www/100/100/promos/18/07/2019/4aebbd99-7478-411e-aced-265e7722d18d.png?q=90,"4 GB RAM | 128 GB ROM | Expandable Upto 1 TB, 16.51 cm (6.5 inch) Full HD+ Display, 50MP + 2MP | 8MP Front Camera, 5000 mAh Battery, T616 Processor, Immersive Stereo Speakers with Dolby Atmos, 1 Year on Handset and 6 Months on Accessories",POCO
"MOTOROLA e13 (Aurora Green, 128 GB)",4.1,"7,499",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/t/a/c51-mzb0e6din-poco-original-imagzdzzraqzsrzc.jpeg?q=70,"6 GB RAM | 128 GB ROM, 16.71 cm (6.58 inch) Full HD+ Display, 50MP + 2MP | 8MP Front Camera, 5000 mAh Battery, Dimensity 6020 Processor, 1 Year of Device & 6 Months for Inbox Accessories",MOTOROLA
"realme C51 (Mint Green, 64 GB)",4.4,"8,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/h/e/-original-imagzjhwmsamexfk.jpeg?q=70,"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB, 16.51 cm (6.5 inch) HD Display, 13MP + 2MP | 5MP Front Camera, 5000 mAh Battery, Unisoc T606 Processor, 1 Year on Handset and 6 Months on Accessories",realme
"vivo T2x 5G (Marine Blue, 128 GB)",4.4,"11,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/8/5/-original-imagmmmhmjpfvbry.jpeg?q=70,"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB, 16.51 cm (6.5 inch) HD+ Display, 13MP + 2MP | 5MP Front Camera, 5000 mAh Battery, Unisoc T606 Processor, 1 Year on Handset and 6 Months on Accessories",vivo
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)",4.4,"19,949",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/i/x/-original-imagt4qptrkzwmxa.jpeg?q=70,"4 GB RAM | 128 GB ROM | Expandable Upto 1 TB, 17.25 cm (6.79 inch) Full HD+ Display, 50MP + 8MP + 2MP | 8MP Front Camera, 5000 mAh Battery, Helio G88 Processor, 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories",OnePlus
"Infinix SMART 7 (Azure Blue, 128 GB)",4.3,"6,599",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/y/g/-original-imagnfzybft7wzmp.jpeg?q=70,"4 GB RAM | 128 GB ROM | Expandable Upto 1 TB, 17.04 cm (6.71 inch) HD+ Display, 50MP Dual Rear Camera | 5MP Front Camera, 5000 mAh Battery, Mediatek Helio G85 Processor, 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",Infinix
"POCO C55 (Cool Blue, 128 GB)",4.2,"7,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/v/2/-original-imagsmshnfvucsvc.jpeg?q=70,"4 GB RAM | 128 GB ROM | Expandable Upto 1 TB, 16.51 cm (6.5 inch) Full HD+ Display, 50MP + 2MP | 8MP Front Camera, 5000 mAh Battery, T616 Processor, Immersive Stereo Speakers with Dolby Atmos, 1 Year on Handset and 6 Months on Accessories",POCO
"MOTOROLA e13 (Aurora Green, 64 GB)",4,"6,499",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/s/y/n/-original-imagshuzkeurgwd8.jpeg?q=70,"4 GB RAM | 64 GB ROM | Expandable Upto 2 TB, 17.12 cm (6.74 inch) HD Display, 50MP + 0.08MP | 5MP Front Camera, 5000 mAh Battery, T612 Processor, 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",MOTOROLA
"POCO M6 Pro 5G (Power Black, 64 GB)",4.3,"10,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/t/4/-original-imagrqg4ahf36sng.jpeg?q=70,"4 GB RAM | 128 GB ROM, 16.71 cm (6.58 inch) Full HD+ Display, 50MP + 2MP | 8MP Front Camera, 5000 mAh Battery, Dimensity 6020 Processor, 1 Year of Device & 6 Months for Inbox Accessories",POCO
"realme 11x 5G (Lunar Silver, 64 GB)",4.4,"14,999",https://rukminim2.flixcart.com/image/312/312/xif0qmobile/d/n/v/c55-mzb0g0dil-poco-original-imagsf8mkmzrfeuj.jpeg?q=70,"4 GB RAM | 128 GB ROM | Expandable Upto 512 GB, 16.76 cm (6.6 inch) HD+ Display, 13MP + AI Lens | 5MP Front Camera, 6000 mAh Battery, Unisoc Spreadtrum SC9863A1 Processor, 1 Year on Handset and 6 Months on Accessories",realme
"SAMSUNG Galaxy F04 (Aqua Blue, 64 GB)",4.3,"6,499",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/e/l/e6-mzb0g0lil-poco-original-imagsdgyzjjyujqyy.jpeg?q=70,"6 GB RAM | 128 GB ROM | Expandable Upto 1 TB, 17.04 cm (6.71 inch) HD+ Display, 50MP Dual Rear Camera | 5MP Front Camera, 5000 mAh Battery, Mediatek Helio G85 Processor, 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",SAMSUNG
"POCO C55 (Sunrise Gold, 128 GB)",4.2,"7,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/7/s/z/c55-mzb0ftlil-poco-original-imagsgsanpdnp8z3.jpeg?q=70,"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB, 17.25 cm (6.79 inch) Full HD+ Display, 50MP + 2MP | 8MP Front Camera, 5000 mAh Battery, Snapdragon 4 Gen 2 Processor, 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",POCO
"OnePlus Nord CE 3 Lite 5G (Aurora Green, 128 GB)",4.4,"19,949",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/8/y/n/c55-mzb0ftll-poco-original-imagsghbpkmmfnjmc.jpeg?q=70,"4 GB RAM | 128 GB ROM | Expandable Upto 1 TB, 16.51 cm (6.5 inch) Full HD+ Display, 50MP + 2MP | 8MP Front Camera, 5000 mAh Battery, T616 Processor, Immersive Stereo Speakers with Dolby Atmos, 1 Year on Handset and 6 Months on Accessories",OnePlus
"Infinix SMART 7 (Obsidian Black, 64 GB)",4.3,"6,599",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/v/3/c55-mzb0dtgin-poco-original-imagsn9kmg5gmgkj.jpeg?q=70,"4 GB RAM | 64 GB ROM | Expandable Upto 2 TB, 16.56 cm (6.52 inch) HD+ Display, 8MP Dual Rear Camera | 5MP Front Camera, 5000 mAh Battery, Helio G36 Processor, 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories",Infinix
"MOTOROLA e13 (Stealth Black, 128 GB)",4.1,"7,499",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/g/c/9/c55-mzb0h0dnn-poco-original-imagsyzyxfdhhs9a.jpeg?q=70,"6 GB RAM | 128 GB ROM | Expandable Upto 1 TB, 17.04 cm (6.71 inch) HD+ Display, 50MP Dual Rear Camera | 5MP Front Camera, 5000 mAh Battery, Mediatek Helio G85 Processor, 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",MOTOROLA
