brand,title,image,rating,price,description
Panasonic,Panasonic 1 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,https://rukminim2.flixcart.com/image/312/312/l15bxjk0/air-conditioner-new/c/q/e/-original-imagcs6gyrx9ansn.jpeg?q=70,5,"33,200",Annual Power Usage: 686.48 kWh. Room Size: 90 sqft or Below. 1 Year Comprehensive Warranty on AC and 10 Years on Compressor.
Panasonic,Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1.5 Ton 5 Star Split Inverter ...,https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/f/a/j/-original-imagnqgu5mj3btdf.jpeg?q=70,4.2,"53,490","Annual Power Usage: 774.19 kWh. Room Size: 111 - 150 sqft. 1 Year Comprehensive Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor."
Panasonic,Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 2 Ton 5 Star Split Inverter wi...,https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/n/b/m/-original-imagmxwtckju9amn.jpeg?q=70,4.3,"49,999","Annual Power Usage: 926.66 kWh. Room Size: 151 - 200 sqft. 1 Year Comprehensive Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor."
Panasonic,Panasonic 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,https://rukminim2.flixcart.com/image/312/312/kpodocw0/air-conditioner-new/v/n/w/cs-tu18wky-cu-tu18wky-split-panasonic-inverter-original-imag3ue3xqchgkm7.jpeg?q=70,3.9,"44,990",Annual Power Usage: 848.28 kWh. Room Size: 111 - 150 sqft. 1 Year Warranty on Product and 10 Years on Compresser.
Panasonic,Panasonic 1.5 Ton 4 Star Split AC with Wi-fi Connect  - White,https://rukminim2.flixcart.com/image/312/312/ktvucnk0/air-conditioner-new/k/j/h/cs-cu-wu18xkyx-split-panasonic-fixed-speed-original-imag74rhqmyybnf3.jpeg?q=70,3.6,"38,890",Room Size: 111 - 150 sqft.
Panasonic,Panasonic 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/k/7/g/-original-imagjybmz2q9ptsm.jpeg?q=70,4.2,"41,990","Annual Power Usage: 774.19 kWh. Room Size: 111 - 150 sqft. 1 Year Comprehensive Warranty on Product, 5 Years Warranty on PCB and 9 Years Warranty On Compressor."
Panasonic,Panasonic 1.5 Ton 5 Star Split Inverter AC  - White,https://rukminim2.flixcart.com/image/312/312/kd4uj680/air-conditioner-new/k/r/z/cs-cu-tu18vkyw-inverter-r32-mps-1-5-split-panasonic-inverter-original-imafu44gcyayfn9u.jpeg?q=70,4.4,"44,934",Annual Power Usage: 846.85 kWh. Room Size: 111 - 150 sqft. 1 Year Comprehensive and 10 Years on Compressor Warranty from Panasonic.
Panasonic,Panasonic 1.5 Ton 3 Star Split Inverter AC  - White,https://rukminim2.flixcart.com/image/312/312/l15bxjk0/air-conditioner-new/a/t/t/-original-imagcs6fekk7zh2b.jpeg?q=70,3.4,"36,999",Annual Power Usage: 1015.62 kWh. Room Size: 111 - 150 sqft. 1 Year Comprehensive Warranty on AC and 10 Years on Compressor.
Panasonic,Panasonic 1 Ton 3 Star Split AC  - White,https://rukminim2.flixcart.com/image/312/312/air-conditioner-new/9/6/c/panasonic-cs-cu-uc18rky3-original-imae5yxsxeqcjkgq.jpeg?q=70,4.4,"31,000",Annual Power Usage: 1125 W. Room Size: 90 sqft or Below. 1 Year on the Product & 4 Years on the Compressor.
Panasonic,Panasonic 1 Ton 4 Star Split Inverter AC  - White,https://rukminim2.flixcart.com/image/312/312/jgffp8w0/air-conditioner-new/z/7/f/cs-cu-ks18sky-1-1-5-split-panasonic-original-imaf4gb87zguufzd.jpeg?q=70,4.2,"38,890",Annual Power Usage: 0 kWh. Room Size: 90 sqft or Below. 1 Year on the Product and 9 Years on the Compressor.
Panasonic,Panasonic 1 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,https://rukminim2.flixcart.com/image/312/312/l0sgyvk0/air-conditioner-new/l/w/2/-original-imagchbyyvryqgkw.jpeg?q=70,4.2,"43,990","Annual Power Usage: 589.13 kWh. Room Size: 90 sqft or Below. 1 Year Comprehensive Warranty, 4 Years on PCB, 9 Years on Compressor and 4 Years on ODU Casing."
Panasonic,Panasonic 1.5 Ton 3 Star Window AC  - White,https://rukminim2.flixcart.com/image/312/312/k6tniq80/air-conditioner-new/f/m/6/cw-lc183am-1-5-window-fixed-speed-panasonic-original-imafp7buduwwcgwz.jpeg?q=70,4.2,"28,500",Annual Power Usage: 1330.5 kWh. Room Size: 111 - 150 sqft. 1 Year on Product and 5 Years Compressor From Panasonic..
Panasonic,Panasonic 1.5 Ton 5 Star Window Inverter AC  - White,https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/g/u/z/-original-imaggyfe2rgp8fwg.jpeg?q=70,3.4,"37,790",Annual Power Usage: 1086.41 kWh. Room Size: 111 - 150 sqft. 1 Year Comprehensive Warranty on AC and 5 Years Warranty on Compressor.
Panasonic,Panasonic 2.2 Ton 4 Star Split Inverter AC  - White,https://rukminim2.flixcart.com/image/312/312/ktvucnk0/air-conditioner-new/h/x/m/cs-cu-qu26wky-split-panasonic-inverter-original-imag74rmu8zbd5dy.jpeg?q=70,2.3,"62,000","Annual Power Usage: 731.44 kWh. 1 Year on Product, 5 Year on PCB and 5 Years on Compressor from Panasonic."
Panasonic,Panasonic 1.5 Ton 3 Star Window AC  - White,https://rukminim2.flixcart.com/image/312/312/klscivk0/air-conditioner-new/n/u/h/ln181am-1-5-window-panasonic-fixed-speed-original-imagyu4narzhh44g.jpeg?q=70,4,"30,000",Room Size: 111 - 150 sqft.
Panasonic,Panasonic 1.5 Ton 5 Star Window AC  - White,https://rukminim2.flixcart.com/image/312/312/k6l2vm80/air-conditioner-new/k/h/r/cw-xn181am-1-5-window-fixed-speed-panasonic-original-imafpyh9wdewgpzb.jpeg?q=70,4.3,"37,500",Annual Power Usage: 1168.9 kWh. Room Size: 111 - 150 sqft. 1 Year on Product and 5 Years Compressor From Panasonic.
Panasonic,Panasonic 1.5 Ton 4 Star Window AC  - White,https://rukminim2.flixcart.com/image/312/312/l1pc3gw0/air-conditioner-new/0/t/f/-original-imagd7cpzvgedwht.jpeg?q=70,4.1,"39,000",Annual Power Usage: 1168.9 kWh. Room Size: 111 - 150 sqft. 1 Year Comprehensive Warranty and 4 Years on Compressor.
Panasonic,Panasonic 1.5 Ton 3 Star Window AC  - White,https://rukminim2.flixcart.com/image/312/312/l1pc3gw0/air-conditioner-new/6/4/z/-original-imagd7czcgj3bhbc.jpeg?q=70,4.8,"29,999",Annual Power Usage: 1238.57 kWh. Room Size: 111 - 150 sqft. 1 Year Comprehensive Warranty and 4 Years on Compressor.
Samsung,SAMSUNG 1 Ton 3 Star Split Inverter AC  - White,https://rukminim2.flixcart.com/image/312/312/kd4uj680/air-conditioner-new/z/d/v/ar12nv5xewkxna-mps-1-split-samsung-inverter-original-imafu44g2hz92wpa.jpeg?q=70,4.8,"31,425","Annual Power Usage: 0 kWh. Room Size: 90 sqft or Below. 1 Year on Product, 10 Years Compressor and 5 Years Condensor Warranty."
Samsung,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter Wind Free AC with Wi-fi Co...,https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/v/5/n/-original-imagnhu55gdnvhjc.jpeg?q=70,4.2,"38,890",Annual Power Usage: 977.8 kWh. Room Size: 111 - 150 sqft. 1 Year Standard Warranty on Product and 10 Years Warranty on Compressor.
Samsung,SAMSUNG 1.5 Ton 3 Star Split Inverter AC  - White,https://rukminim2.flixcart.com/image/312/312/kd4uj680/air-conditioner-new/u/p/h/ar18nv3pawk-mps-1-5-split-samsung-inverter-original-imafu44gprmmdbfx.jpeg?q=70,4.2,"32,312",Annual Power Usage: 0 kWh. Room Size: 111 - 150 sqft. 5 Years on Condenser and 10 Years on Compressor.
Samsung,SAMSUNG Super Convertible 6-in-1 Cooling 1.5 Ton 5 Star Split Inverter WINDFREE Technology AC  - White,https://rukminim2.flixcart.com/image/312/312/kyag87k0/air-conditioner-new/a/i/w/-original-imagajw3gkkjm72y.jpeg?q=70,4.1,"41,990",Annual Power Usage: 806.28 kWh. Room Size: 111 - 150 sqft. 1 Year Standard Warranty on Product and 10 Years Warranty on Compressor From Samsung.
Samsung,SAMSUNG 1 Ton 5 Star Split Inverter AC  - White,https://rukminim2.flixcart.com/image/312/312/kd4uj680/air-conditioner-new/z/d/v/ar12nv5xewkxna-mps-1-split-samsung-inverter-original-imafu44g2hz92wpa.jpeg?q=70,4.3,"33,138","Annual Power Usage: 0 kWh. Room Size: 90 sqft or Below. 1 Year on Product, 10 Years Compressor and 5 Years Condensor Warranty."
Samsung,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter AC  - White,https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/d/n/j/-original-imagnhu5wyrfhpac.jpeg?q=70,4.1,"40,990",Annual Power Usage: 749.48 kWh. Room Size: 111 - 150 sqft. 1 Year Standard Warranty on Product and 10 Years Warranty on Compressor.
